"Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks","Inclusion","Potential Decks"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"","1","Sol Ring","uncommon","Artifact","2.29","1.09","80.52","0.67","0.03","1.46268656716418","6818097","6818097","8148845"
"","2","Arcane Signet","uncommon","Artifact","0.79","0.44","0.72","0.22","0.04","0.23529411764705882","5884773","5884773","8148845"
"W","1","Swords to Plowshares","uncommon","Instant","1.99","1.29","1.82","0.97","0.07","0.4465408805031448","2323995","2323995","3798857"
"W","1","Path to Exile","uncommon","Instant","2.29","1.3","1.82","0.73","0.03","0.4376344086021505","1794445","1794445","3798857"
"G","3","Cultivate","common","Sorcery","0.79","0.4","0.72","0.23","0.02","0.1958762886597938","1602893","1602893","3772297"
"U","2","Counterspell","uncommon","Instant","3.49","0.25","2.19","1.17","0.04","0.7013752455795678","1684553","1684553","4028755"
"G","2","Farseek","common","Sorcery","1.29","0.61","1.46","0.6","0.03","0.17601760176017606","1353917","1353917","3772297"
"G","3","Beast Within","uncommon","Instant","0.99","0.71","1.09","0.71","0.24","0.31508379888268156","1278469","1278469","3772297"
"R","9","Blasphemous Act","rare","Sorcery","2.49","0.84","2.19","0.59","0.02","0.6212121212121214","1350602","1350602","4068867"
"G","2","Rampant Growth","common","Sorcery","0.79","0.44","0.72","0.14","0.01","0.1925601750547046","1246124","1246124","3772297"
"U,B","2","Talisman of Dominance","uncommon","Artifact","2.79","1.94","2.92","0.78","0.04","0.2","661037","661037","2034408"
"G","2","Nature's Lore","uncommon","Sorcery","4.49","2.88","4.39","2.15","0.04","0.2405063291139241","1185740","1185740","3772297"
"B,G","2","Assassin's Trophy","rare","Instant","2.49","0.77","1.82","1.45","0.02","0.3134490238611715","531241","531241","1730512"
"G","2","Heroic Intervention","rare","Instant","19.99","11.9","16.83","10.45","0.02","0.9025096525096525","1149411","1149411","3772297"
"R","3","Chaos Warp","rare","Instant","0.79","0.5","0.72","0.38","0.18","0.3318632855567801","1205600","1205600","4068867"
"U,R","2","Talisman of Creativity","uncommon","Artifact","4.49","2.99","3.65","1.41","0.03","0","534402","534402","1909177"
"B,R","2","Talisman of Indulgence","uncommon","Artifact","2.99","2.27","3.65","1.38","0.03","0.4444444444444444","525570","525570","1902006"
"G","1","Birds of Paradise","rare","Creature","13.99","10.83","8.78","5.52","0.02","0.3054298642533937","1035624","1035624","3772297"
"","2","Swiftfoot Boots","uncommon","Artifact","3.49","1.92","2.92","1.08","0.03","0.38401775804661464","2213790","2213790","8148845"
"G","3","Kodama's Reach","common","Sorcery","2.49","1.26","2.19","0.73","0.03","0.18426966292134825","1018871","1018871","3772297"
"W,B","2","Talisman of Hierarchy","uncommon","Artifact","1.79","0.69","1.46","0.81","0.03","0.26666666666666666","485579","485579","1853973"
"W,U","2","Talisman of Progress","uncommon","Artifact","0.79","0.43","0.72","0.39","0.03","0","470644","470644","1860951"
"B,R,G","1","Ignoble Hierarch","rare","Creature","1.29","1.03","1.46","1.3","0.14","0.15745856353591167","200677","200677","804010"
